ModelYear,Manufacturer ,Division,Model,Displacement,Cylinder,FEcity,FEhighway,FEcombined,Guzzler,AirAspiration1,AirAspiration2,Gears,LockupTorqueConverter,DriveSystem1,DriveSystem2,FuelType,FuelType2,AnnualFuelCost,IntakeValvesPerCyl,ExhaustValvesPerCyl,Class,OilViscosity,StopStartSystem,FErating,CityCO2,HighwayCO2,CombinedCO2
2013,Volkswagen,Volkswagen,BEETLE,2,4,28.6469,38.87,32.4925,,TC,Turbocharged,6,Y,F,"2-Wheel Drive, Front",D,Diesel,1800,2,2,Compact Cars,5W40,No,8,354,262,313
2013,Volkswagen,Volkswagen,BEETLE,2,4,27.8088,40.6616,32.4203,,TC,Turbocharged,6,N,F,"2-Wheel Drive, Front",D,Diesel,1800,2,2,Compact Cars,5W40,No,8,365,250,313
2013,Volkswagen,Volkswagen,GOLF,2,4,29.8946,41.5209,34.2046,,TC,Turbocharged,6,Y,F,"2-Wheel Drive, Front",D,Diesel,1700,2,2,Compact Cars,5W40,No,9,340,245,297
2013,Volkswagen,Volkswagen,GOLF,2,4,29.6183,41.8508,34.104,,TC,Turbocharged,6,N,F,"2-Wheel Drive, Front",D,Diesel,1700,2,2,Compact Cars,5W40,No,9,342,243,297
2013,Volkswagen,Volkswagen,Jetta,2,4,29.8946,41.5209,34.2046,,TC,Turbocharged,6,Y,F,"2-Wheel Drive, Front",D,Diesel,1700,2,2,Compact Cars,5W40,No,9,340,245,297
2013,Volkswagen,Volkswagen,Jetta,2,4,29.6183,41.8508,34.104,,TC,Turbocharged,6,N,F,"2-Wheel Drive, Front",D,Diesel,1700,2,2,Compact Cars,5W40,No,9,342,243,297
2013,Mercedes-Benz,Mercedes-Benz,S 350 BLUETEC 4MATIC,3,6,20.9178,31.405,24.617,,TC,Turbocharged,7,Y,4,4-Wheel Drive,D,Diesel,2300,2,2,Large Cars,0W-30,No,6,486,324,413
2013,Mercedes-Benz,Mercedes-Benz,E 350 BLUETEC,3,6,21.505,32.3554,25.3271,,TC,Turbocharged,7,Y,R,"2-Wheel Drive, Rear",D,Diesel,2300,2,2,Midsize Cars,0W-30,No,6,474,314,402
2013,Volkswagen,Volkswagen,Passat,2,4,30.4633,40.2057,34.1916,,TC,Turbocharged,6,Y,F,"2-Wheel Drive, Front",D,Diesel,1700,2,2,Midsize Cars,5W40 VW 50501,No,9,331,240,290
2013,Volkswagen,Volkswagen,Passat,2,4,30.8024,42.6219,35.1943,,TC,Turbocharged,6,N,F,"2-Wheel Drive, Front",D,Diesel,1650,2,2,Midsize Cars,5W40 VW 50501,No,9,330,239,289
2013,Audi,Audi,A3,2,4,29.8946,41.5209,34.2046,,TC,Turbocharged,6,Y,F,"2-Wheel Drive, Front",D,Diesel,1700,2,2,Small Station Wagons,5W40,No,9,340,245,297
2013,Volkswagen,Volkswagen,JETTA SPORTWAGEN,2,4,28.8556,39.4682,32.8278,,TC,Turbocharged,6,Y,F,"2-Wheel Drive, Front",D,Diesel,1750,2,2,Small Station Wagons,5W40,No,8,352,258,310
2013,Volkswagen,Volkswagen,JETTA SPORTWAGEN,2,4,29.6183,41.8508,34.104,,TC,Turbocharged,6,N,F,"2-Wheel Drive, Front",D,Diesel,1700,2,2,Small Station Wagons,5W40,No,9,342,243,297
2013,Audi,Audi,Q7,3,6,18.74,27.62,21.9099,,TC,Turbocharged,8,Y,A,All Wheel Drive,D,Diesel,2600,2,2,Standard SUV 4WD,5W30 VW 50700,No,5,541,369,464
2013,Mercedes-Benz,Mercedes-Benz,GL 350 BLUETEC 4MATIC,3,6,19.067,25.9926,21.6646,,TC,Turbocharged,7,Y,4,4-Wheel Drive,D,Diesel,2600,2,2,Standard SUV 4WD,0W-30,No,5,533,391,469
2013,Mercedes-Benz,Mercedes-Benz,ML 350 BLUETEC 4MATIC,3,6,19.9584,27.7145,22.834,,TC,Turbocharged,7,Y,4,4-Wheel Drive,D,Diesel,2500,2,2,Standard SUV 4WD,0W-30,No,6,509,367,445
2013,Porsche,Porsche,Cayenne Diesel,3,6,19.1,29.2,22.6,,TC,Turbocharged,8,Y,A,All Wheel Drive,D,Diesel,2500,2,2,Standard SUV 4WD,5W30,No,6,531,348,449
2013,Volkswagen,Volkswagen,TOUAREG,3,6,19.649,28.9961,22.9829,,TC,Turbocharged,8,Y,A,All Wheel Drive,D,Diesel,2500,2,2,Standard SUV 4WD,5W30 VW 50700,No,6,517,351,442
2013,Volkswagen,Volkswagen,BEETLE CONVERTIBLE,2,4,27.8088,40.6616,32.4203,,TC,Turbocharged,6,N,F,"2-Wheel Drive, Front",D,Diesel,1800,2,2,Subcompact Cars,5W40,No,8,365,250,313
2013,Chrysler,Chrysler,300,5.7,8,15.522,24.7476,18.6507,,NA,Naturally Aspirated,5,Y,R,"2-Wheel Drive, Rear",G,Gasoline,2900,1,1,Large Cars,5W-20,No,4,572,360,476
2013,Chrysler,Chrysler,300 AWD,5.7,8,14.6411,23.4285,17.6141,,NA,Naturally Aspirated,5,Y,A,All Wheel Drive,G,Gasoline,3050,1,1,Large Cars,5W-20,No,4,606,379,503
2013,Chrysler,Dodge,Charger,5.7,8,15.522,24.7476,18.6507,,NA,Naturally Aspirated,5,Y,R,"2-Wheel Drive, Rear",G,Gasoline,2900,1,1,Large Cars,5W-20,No,4,572,360,476
2013,Chrysler,Dodge,Charger AWD,5.7,8,14.6411,23.4285,17.6141,,NA,Naturally Aspirated,5,Y,A,All Wheel Drive,G,Gasoline,3050,1,1,Large Cars,5W-20,No,4,606,379,503
2013,Chrysler,Dodge,Challenger,5.7,8,15.522,24.7476,18.6507,,NA,Naturally Aspirated,5,Y,R,"2-Wheel Drive, Rear",G,Gasoline,2900,1,1,Midsize Cars,5W-20,No,4,572,360,476
2013,Chrysler,RAM,1500 2WD,5.7,8,13.7551,19.5825,15.8819,,NA,Naturally Aspirated,6,Y,R,"2-Wheel Drive, Rear",G,Gasoline,3400,1,1,Standard Pick-up Trucks 2WD,5W-20,No,3,646,454,560
